A07511-1_gentleman, 1_gentleman
A07511-2_gentleman, 2_gentleman
A07511-all, ####
A07511-arthur, Arthur
A07511-audrey, Audrey
A07511-barber, barber
A07511-boy, boy
A07511-citizen, ####
A07511-curti, courtesan
A07511-dampit, Dampit
A07511-drawer, drawer
A07511-fawl, falconer
A07511-george, George
A07511-gulf, Gulf
A07511-hoard, Hoard
A07511-host, host
A07511-huntsman, huntsman
A07511-kix, Kix
A07511-lady, Lady
A07511-lamprey, Lamprey
A07511-lancelot, Lancelot
A07511-limber, Limber
A07511-lucre, Lucre
A07511-moneylove, Moneylove
A07511-niece, Niece
A07511-onesiphorus, Onesiphorus
A07511-perfumer, perfumer
A07511-sam, Sam
A07511-scrivener, scrivener
A07511-servant, servant
A07511-servant_2, 2_servant
A07511-song, song
A07511-spichcock, Spichcock
A07511-taylor, tailor
A07511-vintner, vintner
A07511-widow, Witgood
A07511-wife, wife
A07511-witgood, Witgood
A07511-within, bartender_William
A07511-xxxx_1, 1_creditor
A07511-xxxx_2, 2_creditor
A07511-xxxx_3, 3_creditor
act, ####
machine-generated_castlist, ####
textual_notes, ####
title_page, ####
