Source,Type,Target,Weight
Featherstone,undirected,Greenshield,30
Greenshield,undirected,chamberlain,6
Featherstone,undirected,chamberlain,2
Bellamont,undirected,Greenshield,50
Bellamont,undirected,Featherstone,19
Featherstone,undirected,Mayberry,35
Bellamont,undirected,Mayberry,116
Greenshield,undirected,Mayberry,49
Mayberry,undirected,Philip,4
1_sergeant,undirected,Philip,2
1_sergeant,undirected,Doll,2
Doll,undirected,Philip,30
Chartley,undirected,Philip,2
1_sergeant,undirected,Chartley,1
1_sergeant,undirected,2_sergeant,1
2_sergeant,undirected,Doll,1
Chartley,undirected,Doll,15
Chartley,undirected,drawer,1
Leverpool,undirected,drawer,1
Doll,undirected,Leverpool,28
Doll,undirected,drawer,6
Doll,undirected,Mayberry,2
Mayberry,undirected,prentice,7
Bellamont,undirected,prentice,3
Mayberry,undirected,mrs_Mayberry,28
Bellamont,undirected,mrs_Mayberry,19
Bellamont,undirected,Philip,35
Hornet,undirected,Philip,1
Doll,undirected,Hornet,19
Hornet,undirected,Leverpool,3
Chartley,undirected,Hornet,1
Doll,undirected,Hans,15
Hans,undirected,Leverpool,2
Hans,undirected,Hornet,14
Chartley,undirected,Hans,2
Allum,undirected,Doll,15
Allum,undirected,Leverpool,1
Allum,undirected,Chartley,1
Leverpool,undirected,Doll,1
Leverpool,undirected,Allum,1
Doll,undirected,captain,41
Philip,undirected,captain,3
Leverpool,undirected,captain,1
Chartley,undirected,Leverpool,1
Leverpool,undirected,Philip,3
Greenshield,undirected,mrs_Mayberry,3
Featherstone,undirected,mrs_Mayberry,2
Featherstone,undirected,Kate,21
Kate,undirected,mrs_Mayberry,2
Bellamont,undirected,Leverpool,4
Bellamont,undirected,Doll,35
Doll,undirected,tailor,2
Doll,undirected,Leapfrog,1
Leapfrog,undirected,squirrel,12
Kate,undirected,squirrel,5
Greenshield,undirected,squirrel,4
Greenshield,undirected,Kate,21
Featherstone,undirected,squirrel,1
Bellamont,undirected,Leapfrog,1
Bellamont,undirected,captain,50
Mayberry,undirected,captain,8
Allum,undirected,captain,14
Full-moon,undirected,Mayberry,5
Bellamont,undirected,Full-moon,26
Greenshield,undirected,bawd,1
Bellamont,undirected,bawd,7
Philip,undirected,bawd,4
bawd,undirected,musician,2
Bellamont,undirected,musician,9
Mayberry,undirected,musician,1
Greenshield,undirected,musician,2
Full-moon,undirected,Greenshield,8
Full-moon,undirected,Philip,1
Bellamont,undirected,Kate,11
Kate,undirected,Mayberry,13
Kate,undirected,hostess,3
Bellamont,undirected,hostess,3
Leverpool,undirected,Mayberry,2
Featherstone,undirected,Leverpool,2
Featherstone,undirected,Philip,1
Allum,undirected,Mayberry,1
Featherstone,undirected,captain,1
Allum,undirected,Hans,1
Doll,undirected,Featherstone,3
