	character	line_rank	word_rank	WD_rank	BC_rank
0	Bardolph	20	17	9	14
1	Blunt	11	14	15	10
2	Douglas	10	12	10	12
3	Falstaff	2	1	2	3
4	Gadshill	14	13	12	5
5	Glendower	6	6	8	15
6	Hotspur	1	3	3	1
7	King_Henry_IV	4	4	6	4
8	Lady_Percy	9	10	11	15
9	Lancaster	22	24	20	15
10	Mortimer	8	9	14	13
11	Northumberland	16	19	15	15
12	Peto	21	23	18	11
13	Poins	9	7	4	9
14	Prince_Hal	3	2	1	2
15	Sir_Michael	22	27	21	15
16	Vernon	7	8	13	15
17	Westmoreland	12	15	16	15
18	Worcester	5	5	5	8
19	archbishop	13	16	20	7
20	chamberlain	19	21	19	15
21	drawer_Francis	24	22	13	15
22	first_carrier	17	18	17	6
23	first_messenger	27	32	23	15
24	first_traveler	25	30	23	15
25	hostess	15	11	7	15
26	ostler	27	34	23	15
27	second_messenger	26	31	23	15
28	servant	25	29	22	15
29	sheriff	22	26	20	15
30	third_carrier	27	33	23	15
31	third_messenger	23	25	21	15
32	travelers_second_carrier	18	20	19	15
33	vintner	24	28	23	15
