	character	line_rank	word_rank	WD_rank	BC_rank
0	1_officer	19	22	19	20
1	2_officer	19	21	19	20
2	Asotus	1	1	1	1
3	Ballio	2	3	2	2
4	Bomolocus	14	13	14	15
5	Chaerilus	12	14	12	11
6	Chremylus	12	18	12	16
7	Demetrius	9	9	9	19
8	Dypsas	11	10	11	17
9	Evadne	6	6	6	6
10	Hyperbolus	15	17	15	12
11	Paegnion	14	12	14	7
12	Pamphilus	7	8	7	4
13	Phronesium	17	15	17	18
14	Phryne	8	11	8	13
15	Simo	4	5	4	8
16	Staphyla	18	20	18	20
17	Techmessa	5	4	5	10
18	Thrasimachus	13	19	13	14
19	Tyndarus	3	2	3	3
20	priest	16	16	16	9
21	sexton	10	7	10	5
