,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,Bardolph,11,228,6,42,0.17399980084164016,6.113492063492062,20,17,7,9,14,9,18,9
1,Blunt,39,322,5,22,0.17593505539021978,12.5,11,14,8,15,10,8,12,10
2,Douglas,40,377,7,38,0.2675152723751661,8.206421356421359,10,12,6,10,12,6,11,8
3,Falstaff,525,5784,13,300,0.35928717185606657,96.32276334776333,2,1,3,2,3,3,1,2
4,Gadshill,31,364,7,30,0.12997323851083054,56.783333333333324,14,13,6,12,5,15,13,9
5,Glendower,73,633,2,46,0.07041522208649346,0.0,6,6,11,8,15,22,6,14
6,Hotspur,548,4466,17,202,0.3788615532632769,213.6842352092352,1,3,1,3,1,1,2,1
7,King_Henry_IV,352,2611,11,58,0.326627686888326,71.13621933621933,4,4,4,6,4,4,4,4
8,Lady_Percy,45,454,2,32,0.09847605020946144,0.0,9,10,11,11,15,18,9,13
9,Lancaster,7,69,3,10,0.13845186714340474,0.0,22,24,10,20,15,13,23,14
10,Mortimer,62,469,5,26,0.16199610409421777,7.7727272727272725,8,9,8,14,13,10,8,11
11,Northumberland,22,185,3,22,0.13244150183811,0.0,16,19,10,15,15,14,17,13
12,Peto,9,102,5,14,0.15659297964489102,9.369047619047617,21,23,8,18,11,11,22,12
13,Poins,45,602,6,72,0.1945233369708499,19.918253968253975,9,7,7,4,9,7,8,6
14,Prince_Hal,451,4635,16,340,0.37753066199786883,152.12752525252523,3,2,2,1,2,2,2,1
15,Sir_Michael,7,61,1,8,0.008665263595265838,0.0,22,27,12,21,15,34,24,20
16,Vernon,63,486,3,28,0.12474555126887964,0.0,7,8,10,13,15,16,7,13
17,Westmoreland,37,308,3,18,0.13845186714340482,0.0,12,15,10,16,15,12,13,13
18,Worcester,182,1462,10,70,0.3117908066695295,26.846933621933626,5,5,5,5,8,5,5,5
19,archbishop,32,265,3,10,0.06655768496709218,32.0,13,16,10,20,7,23,14,15
20,chamberlain,13,157,1,12,0.01692144750202104,0.0,19,21,12,19,15,32,20,19
21,drawer_Francis,3,109,2,28,0.0744767293850552,0.0,24,22,11,13,15,20,23,14
22,first_carrier,15,200,4,16,0.07085097546258919,51.219047619047636,17,18,9,17,6,21,17,13
23,first_messenger,0,11,1,2,0.04932466065731269,0.0,27,32,12,23,15,26,29,19
24,first_traveler,2,21,1,2,0.04677623706518183,0.0,25,30,12,23,15,30,27,20
25,hostess,30,448,3,48,0.11858097071368917,0.0,15,11,10,7,15,17,13,12
26,ostler,0,4,1,2,0.009224214734460745,0.0,27,34,12,23,15,33,30,20
27,second_messenger,1,13,1,2,0.04932466065731266,0.0,26,31,12,23,15,28,28,19
28,servant,2,27,1,6,0.04932466065731268,0.0,25,29,12,22,15,27,27,19
29,sheriff,7,64,2,10,0.05650830668310564,0.0,22,26,11,20,15,25,24,17
30,third_carrier,0,5,2,2,0.05650830668310566,0.0,27,33,11,23,15,24,30,18
31,third_messenger,6,66,2,8,0.08991726131203585,0.0,23,25,11,21,15,19,24,16
32,travelers_second_carrier,14,158,2,12,0.026145662236481775,0.0,18,20,11,19,15,31,19,19
33,vintner,3,40,1,2,0.04915138955214874,0.0,24,28,12,23,15,29,26,19
