,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,Arthur,29,619,11,58,0.285233158133272,8.020634920634919,9,9,4,9,4,7,9,6
1,Artichoke,22,327,8,44,0.2373359210891325,0.2111111111111111,11,12,7,12,10,10,11,9
2,Civet,34,699,10,66,0.2741254617178205,1.4837301587301586,8,7,5,8,8,8,7,7
3,Daffidill,17,237,7,34,0.21044868513591614,0.1,12,13,8,13,11,12,12,11
4,Delia,25,485,9,50,0.2549591145965528,0.7964285714285713,10,10,6,10,9,9,10,8
5,Flowerdale,134,3444,16,260,0.3349938330511934,53.45039682539683,2,1,1,2,1,1,1,1
6,Frances,25,375,7,48,0.2068832595088765,0.2111111111111111,10,11,8,11,10,13,10,10
7,Lancelot,144,2840,13,284,0.32597927746325267,8.450396825396824,1,2,2,1,3,2,1,2
8,Luce,53,1056,11,106,0.2952885143506787,2.1837301587301585,6,5,4,6,5,6,5,5
9,Oliver,60,1341,12,120,0.306671855469818,9.478968253968253,4,4,3,4,2,3,4,3
10,Rafe,2,74,1,4,0.03326504746825328,0.0,14,15,10,15,12,18,14,13
11,Uncle,58,889,7,112,0.21312135890716075,0.0,5,6,8,5,12,11,5,9
12,Weathercock,44,696,11,88,0.2970198220814868,2.005952380952381,7,8,4,7,6,5,7,5
13,citizen,1,82,1,2,0.03326504746825341,0.0,15,14,10,16,12,16,14,13
14,drawer,4,43,2,8,0.06563494526522229,0.0,13,17,9,14,12,14,15,12
15,father,89,2220,11,172,0.30104047610278795,1.6075396825396824,3,3,4,3,7,4,3,4
16,ruffian,1,65,1,2,0.03326504746825338,0.0,15,16,10,16,12,17,15,13
17,soldier,2,36,2,4,0.05877645028526531,0.0,14,18,9,15,12,15,16,12
