A07504-1_knight,1_knight
A07504-all,####
A07504-ancient,Ancient
A07504-both,####
A07504-bounteous,Bounteous
A07504-bouteous,Bounteous
A07504-constable,constable
A07504-country-gentleman,courtesan
A07504-courtesan,courtesan
A07504-curtiz,courtesan
A07504-first,1_watchman
A07504-folly-wit,Folly-wit
A07504-footman,Footman
A07504-gumwater,Gunwater
A07504-gunwater,Gunwater
A07504-harebrain,Harebrain
A07504-inesse,Inesse
A07504-jesper,Jesper
A07504-lieutenant,Lieutenant
A07504-mother,mother
A07504-penitent,Penitent
A07504-possibility,Possibility
A07504-rafe,Rafe
A07504-second,2_watchman
A07504-semus,servant
A07504-servant,servant
A07504-short_r,Harebrain
A07504-succubus,succubus
A07504-wife,wife
A07504-within,####
act,####
curtiz,courtesan
machine-generated_castlist,####
play,####
textual_notes,####
title_page,####
