A19260-1_sergeant, 1_sergeant
A19260-1_servant, 1_sergeant
A19260-2_messenger, 2_messenger
A19260-2_servant, 2_sergeant
A19260-all, ####
A19260-ambo, ####
A19260-ballance, Ballance
A19260-basketman, Baskethilt
A19260-blanke, Blanke
A19260-boy, boy
A19260-bubble, Bubble
A19260-drawer, drawer
A19260-fox, fox
A19260-francis, Spendall
A19260-gartred, Gartred
A19260-gartred_and_joyce, ####
A19260-geraldine, Geraldine
A19260-hold, Hold
A19260-joyce, Joyce
A19260-lionel, Lionel
A19260-lodge, Lodge
A19260-londoner, Longfield
A19260-longfield, Longfield
A19260-messenger, 1_messenger
A19260-ninnihammer, Ninnihammer
A19260-old_geraldine, old_Geraldine
A19260-omnes, ####
A19260-phillis, Phillis
A19260-prisoner, prisoner
A19260-pursenet, Pursenet
A19260-rash, Rash
A19260-scattergood, Scattergood
A19260-sergeant, 3_sergeant
A19260-servant, servant(s)
A19260-spendall, Spendall
A19260-spendall_and_staines, ####
A19260-sprinkle, Sprinkle
A19260-staines, Staines
A19260-swaggerer, swaggerer
A19260-sweatman, Sweatman
A19260-tickleman, Tickleman
A19260-unassigned
A19260-wench, wench
A19260-widow, widow
A19260-yyyy_1, 1_sergeant
A19260-yyyy_2, 2_sergeant
machine-generated_castlist, ####
poem, ####
text, ####
textual_notes, ####
title_page, ####
to_the_reader, ####
