Source,Type,Target,Weight
 Lord_Bardolph,undirected, porter,4
 Lord_Bardolph,undirected, Northumberland,15
 Northumberland,undirected, Travers,2
 Morton,undirected, Northumberland,8
 Lord_Bardolph,undirected, Morton,4
 Falstaff,undirected, Northumberland,1
 Falstaff,undirected, page,14
 Chief_Justice,undirected, Falstaff,65
 Chief_Justice,undirected, servant,7
 Falstaff,undirected, servant,7
 Chief_Justice,undirected, page,2
 Falstaff,undirected, archbishop,2
 Lord_Mowbray,undirected, archbishop,13
 Lord_Hastings,undirected, Lord_Mowbray,6
 Lord_Bardolph,undirected, Lord_Hastings,10
 Lord_Bardolph,undirected, archbishop,2
 Lord_Hastings,undirected, archbishop,10
 Lord_Hastings,undirected, hostess,1
 hostess,undirected, officer_Fang,9
 hostess,undirected, officer_Snare,3
 officer_Fang,undirected, officer_Snare,1
 Falstaff,undirected, hostess,38
 Falstaff,undirected, officer_Fang,2
 hostess,undirected, page,1
 Chief_Justice,undirected, hostess,7
 Chief_Justice,undirected, Master_Gower,4
 Falstaff,undirected, Master_Gower,4
 Chief_Justice,undirected, Prince_Hal,7
 Poins,undirected, Prince_Hal,45
 Bardolph,undirected, Prince_Hal,10
 Poins,undirected, page,1
 Prince_Hal,undirected, page,11
 Bardolph,undirected, page,2
 Bardolph,undirected, Poins,4
 Northumberland,undirected, Prince_Hal,1
 Lady_Northumberland,undirected, Northumberland,3
 Lady_Percy,undirected, Northumberland,3
 Lady_Northumberland,undirected, Lady_Percy,1
 Francis,undirected, Northumberland,1
 Francis,undirected, drawer_first,3
 Francis,undirected, Will,1
 Will,undirected, drawer_first,1
 Francis,undirected, hostess,1
 Doll ,undirected, hostess,16
 Doll ,undirected, Falstaff,30
 Doll ,undirected, drawer_second,2
 Pistol,undirected, hostess,9
 Falstaff,undirected, Pistol,27
 Doll ,undirected, Pistol,6
 Bardolph,undirected, Doll ,1
 Bardolph,undirected, Falstaff,12
 Pistol,undirected, page,2
 Bardolph,undirected, hostess,5
 Bardolph,undirected, Pistol,3
 Doll ,undirected, page,1
 Falstaff,undirected, Prince_Hal,18
 Falstaff,undirected, Poins,5
 Prince_Hal,undirected, hostess,4
 Doll ,undirected, Poins,1
 Doll ,undirected, Prince_Hal,1
 Peto,undirected, Prince_Hal,2
 King_Henry_IV,undirected, hostess,1
 King_Henry_IV,undirected, Warwick,26
 King_Henry_IV,undirected, Shallow,2
 Master_Silence,undirected, Shallow,25
 Bardolph,undirected, Shallow,16
 Falstaff,undirected, Shallow,72
 Falstaff,undirected, Master_Silence,13
 Mouldy,undirected, Shallow,3
 Falstaff,undirected, Mouldy,5
 Shadow,undirected, Shallow,1
 Falstaff,undirected, Shadow,3
 Falstaff,undirected, Wart,4
 Feeble,undirected, Shallow,4
 Falstaff,undirected, Feeble,7
 Bullcalf,undirected, Falstaff,8
 Bullcalf,undirected, Shallow,1
 Bardolph,undirected, Bullcalf,1
 Bardolph,undirected, Mouldy,2
 Bardolph,undirected, Feeble,3
 Lord_Hastings,undirected, messenger,1
 Lord_Mowbray,undirected, messenger,1
 Lord_Mowbray,undirected, Westmoreland,14
 Westmoreland,undirected, archbishop,15
 Lord_Hastings,undirected, Westmoreland,3
 Lancaster,undirected, archbishop,8
 Lancaster,undirected, Lord_Hastings,3
 Lancaster,undirected, Westmoreland,6
 Lancaster,undirected, Lord_Mowbray,2
 Falstaff,undirected, Lancaster,15
 Colevile,undirected, Falstaff,8
 Colevile,undirected, Lancaster,2
 Falstaff,undirected, King_Henry_IV,1
 Gloucester,undirected, King_Henry_IV,8
 Clarence,undirected, Gloucester,4
 Clarence,undirected, King_Henry_IV,11
 King_Henry_IV,undirected, Westmoreland,2
 Harcourt,undirected, King_Henry_IV,2
 Clarence,undirected, Westmoreland,1
 Warwick,undirected, Westmoreland,1
 Clarence,undirected, Warwick,6
 Gloucester,undirected, Warwick,2
 Prince_Hal,undirected, Warwick,3
 Clarence,undirected, Prince_Hal,2
 Gloucester,undirected, Prince_Hal,4
 King_Henry_IV,undirected, Prince_Hal,9
 King_Henry_IV,undirected, Lancaster,2
 Davy,undirected, Shallow,21
 Falstaff,undirected, Warwick,1
 Chief_Justice,undirected, Warwick,11
 Chief_Justice,undirected, Lancaster,6
 Lancaster,undirected, Warwick,2
 Chief_Justice,undirected, Gloucester,1
 Gloucester,undirected, Lancaster,1
 Clarence,undirected, Lancaster,1
 Chief_Justice,undirected, Clarence,1
 Prince_Hal,undirected, Shallow,1
 Davy,undirected, Master_Silence,3
 Bardolph,undirected, Davy,1
 Davy,undirected, Falstaff,1
 Master_Silence,undirected, Pistol,3
 Pistol,undirected, Shallow,10
 beadle,undirected, hostess,3
 Doll ,undirected, beadle,4
 beadle,undirected, groom_first,1
 groom_first,undirected, groom_second,2
 Falstaff,undirected, groom_first,1
 Chief_Justice,undirected, Pistol,1
 Lancaster,undirected, Pistol,1
