Source,Type,Target,Weight
 Mirth,undirected, prologue,8
 Tatle,undirected, prologue,3
 Expectation,undirected, prologue,7
 Censure,undirected, prologue,1
 Censure,undirected, bookholder,1
 Tatle,undirected, bookholder,1
 Expectation,undirected, Tatle,16
 Mirth,undirected, Tatle,24
 Censure,undirected, Mirth,24
 Censure,undirected, Pennyboy_junior,2
 Leatherleg,undirected, Pennyboy_junior,4
 Pennyboy_junior,undirected, fashioner,31
 Pennyboy_junior,undirected, Thomas,47
 Thomas,undirected, fashioner,11
 Pennyboy_junior,undirected, haberdasher,2
 Lickfinger,undirected, Pennyboy_junior,24
 Pennyboy_Canter,undirected, Pennyboy_junior,73
 Pennyboy_junior,undirected, spurrier,4
 Pennyboy_junior,undirected, register,9
 clerk,undirected, register,9
 Pennyboy_senior,undirected, clerk,1
 Cymbal,undirected, Pennyboy_senior,37
 Cymbal,undirected, Pennyboy_junior,40
 Cymbal,undirected, Fitton,64
 Fitton,undirected, Pennyboy_junior,49
 Cymbal,undirected, register,3
 Pecunia,undirected, Pennyboy_junior,23
 Cymbal,undirected, Pecunia,3
 Pennyboy_Canter,undirected, Picklock,48
 Pennyboy_junior,undirected, Picklock,63
 Mirth,undirected, Pennyboy_junior,1
 Censure,undirected, Expectation,19
 Expectation,undirected, Mirth,20
 Censure,undirected, Tatle,12
 Censure,undirected, Pennyboy_senior,2
 Pecunia,undirected, Pennyboy_senior,11
 Mortgage,undirected, Pennyboy_senior,2
 Band,undirected, Mortgage,2
 Band,undirected, Pecunia,1
 Pecunia,undirected, Statute,4
 Band,undirected, Statute,14
 Band,undirected, Pennyboy_senior,4
 Mortgage,undirected, Statute,1
 Mortgage,undirected, Pecunia,1
 Broker,undirected, Pecunia,1
 Broker,undirected, Pyedmantle,24
 Broker,undirected, Pennyboy_senior,19
 Lickfinger,undirected, Pennyboy_senior,43
 Broker,undirected, Lickfinger,2
 Fitton,undirected, Pennyboy_senior,21
 Almanach,undirected, Pennyboy_junior,10
 Almanach,undirected, Pennyboy_senior,13
 Almanach,undirected, Fitton,47
 Almanach,undirected, Shunfield,31
 Fitton,undirected, Shunfield,23
 Pennyboy_senior,undirected, Shunfield,21
 Fitton,undirected, Lickfinger,1
 Lickfinger,undirected, Shunfield,3
 Almanach,undirected, Lickfinger,3
 Almanach,undirected, Madrigal,26
 Fitton,undirected, Madrigal,12
 Madrigal,undirected, Shunfield,23
 Almanach,undirected, Broker,2
 Broker,undirected, Madrigal,4
 Broker,undirected, Shunfield,3
 Broker,undirected, Fitton,3
 Pennyboy_junior,undirected, Pennyboy_senior,30
 Pennyboy_senior,undirected, Picklock,8
 Pennyboy_Canter,undirected, Pennyboy_senior,18
 Pennyboy_junior,undirected, Statute,2
 Statute,undirected, Wax,6
 Mortgage,undirected, Wax,2
 Pennyboy_junior,undirected, Wax,2
 Broker,undirected, Pennyboy_junior,6
 Broker,undirected, Censure,1
 Fitton,undirected, Mirth,1
 Cymbal,undirected, Picklock,4
 Fitton,undirected, Picklock,7
 Cymbal,undirected, Thomas,7
 Fitton,undirected, Pecunia,1
 Pennyboy_junior,undirected, dopper,1
 dopper,undirected, register,15
 Thomas,undirected, register,2
 Thomas,undirected, dopper,2
 2_customer,undirected, register,1
 2_customer,undirected, Pecunia,2
 2_customer,undirected, Lickfinger,1
 Lickfinger,undirected, Pecunia,4
 Pecunia,undirected, register,1
 Lickfinger,undirected, Thomas,13
 Cymbal,undirected, Pennyboy_Canter,1
 Band,undirected, Pennyboy_Canter,1
 Band,undirected, Wax,4
 Fitton,undirected, Wax,3
 Mortgage,undirected, Picklock,2
 Picklock,undirected, Statute,2
 Band,undirected, Picklock,1
 Band,undirected, Fitton,1
 Broker,undirected, Picklock,3
 4_customer,undirected, Pecunia,1
 4_customer,undirected, Lickfinger,1
 5_customer,undirected, Lickfinger,1
 5_customer,undirected, Thomas,1
 Cymbal,undirected, Lickfinger,1
 Cymbal,undirected, Shunfield,4
 Almanach,undirected, Thomas,2
 Shunfield,undirected, Thomas,4
 Madrigal,undirected, Thomas,2
 Pecunia,undirected, Shunfield,1
 Pecunia,undirected, Thomas,4
 Pennyboy_junior,undirected, Shunfield,8
 Madrigal,undirected, Pennyboy_Canter,4
 Picklock,undirected, Shunfield,1
 Madrigal,undirected, Picklock,1
 Madrigal,undirected, Pennyboy_junior,17
 Fitton,undirected, Pennyboy_Canter,5
 Madrigal,undirected, Pecunia,1
 Lickfinger,undirected, Madrigal,3
 Almanach,undirected, Band,1
 Band,undirected, Pennyboy_junior,1
 Pecunia,undirected, Picklock,2
 Pecunia,undirected, Pennyboy_Canter,3
 Pennyboy_Canter,undirected, Shunfield,4
 Almanach,undirected, Pecunia,1
 Lickfinger,undirected, Picklock,15
 Pennyboy_senior,undirected, Statute,1
 Pennyboy_senior,undirected, Wax,1
 Fitton,undirected, Pyedmantle,2
 Pecunia,undirected, Pyedmantle,10
 Pennyboy_Canter,undirected, Pyedmantle,2
 Almanach,undirected, Pennyboy_Canter,3
 Pennyboy_Canter,undirected, Tatle,1
 Pennyboy_junior,undirected, Tatle,1
 Picklock,undirected, Thomas,3
 Pennyboy_Canter,undirected, Thomas,2
 Lickfinger,undirected, Pennyboy_Canter,9
 Pennyboy_senior,undirected, porter,8
 Cymbal,undirected, Madrigal,3
 Madrigal,undirected, Pennyboy_senior,2
 Almanach,undirected, Cymbal,5
