	character	line_rank	word_rank	WD_rank	BC_rank
0	1_creditor	6	6	6	7
1	2_creditor	9	9	9	19
2	2_servant	24	31	24	20
3	3_creditor	12	14	12	20
4	Arthur	24	34	24	20
5	Audrey	11	13	11	15
6	Dampit	7	7	7	6
7	George	16	21	16	18
8	Gulf	18	20	18	17
9	Hoard	2	3	2	1
10	Kix	23	28	23	20
11	Lady	22	29	22	20
12	Lamprey	8	11	8	8
13	Lancelot	10	8	10	9
14	Limber	20	27	20	20
15	Lucre	3	2	3	3
16	Moneylove	14	12	14	14
17	Niece	19	16	19	10
18	Onesiphorus	15	19	15	20
19	Sam	13	10	13	11
20	Spichcock	20	24	20	20
21	Witgood	1	1	1	2
22	barber	23	34	23	20
23	bartender_William	24	33	24	20
24	boy	17	22	17	13
25	courtesan	4	4	4	5
26	drawer	15	18	15	4
27	falconer	23	30	23	20
28	host	5	5	5	12
29	huntsman	23	30	23	20
30	perfumer	22	32	22	20
31	scrivener	24	17	24	20
32	servant	21	23	21	20
33	song	24	26	24	20
34	tailor	22	32	22	20
35	vintner	21	25	21	16
36	wife	17	15	17	20
