,Character,Lines,Words,Degree,Weighted Degree,Eigenvector,Betweenness,Line Rank,Word Rank,Degree Rank,WD_rank,BC_rank,EC_rank,Count Rank,Metrics Rank
,,,,,,,,,,,,,,,
0,Wellborn,130,2828,18,254,0.351,68.644,2,2,1,2,1,1,2,1
1,Marall,107,2206,13,214,0.323,9.656,3,3,2,3,2,2,3,2
2,Lady,69,1934,12,134,0.301,9.046,5,4,3,5,3,4,4,3
3,Alworth,59,1626,12,118,0.308,7.012,6,6,3,6,5,3,6,4
4,Overreach,158,5510,10,314,0.254,5.74,1,1,5,1,6,7,1,4
5,Greedy,49,1124,11,96,0.271,8.06,7,7,4,7,4,6,7,5
6,Furnace,44,862,11,88,0.299,2.169,8,8,4,8,7,5,8,6
7,Order,29,307,11,58,0.299,2.169,10,11,4,10,7,5,10,6
8,Lovell,75,1737,7,150,0.193,1.653,4,5,8,4,8,11,4,7
9,woman,12,112,9,24,0.251,0.906,13,14,6,13,10,8,13,9
10,Amble,19,240,8,38,0.234,0.373,12,12,7,12,13,9,12,10
11,Margaret,30,858,5,60,0.113,1,9,9,10,9,9,13,9,10
12,Tapwell,21,761,4,42,0.1,0.433,11,10,11,11,12,14,10,12
13,Watchall,7,51,7,14,0.203,0.286,16,18,8,16,14,10,17,12
14,chambermaid,9,76,6,18,0.184,0,15,16,9,15,15,12,15,12
15,Froth,11,163,3,22,0.072,0,14,13,12,14,15,15,13,14
16,Willdo,6,85,3,12,0.072,0.855,17,15,12,17,11,16,16,14
17,1_creditor,2,52,1,4,0.035,0,18,17,14,18,15,18,17,16
18,2_creditor,2,45,1,4,0.035,0,18,19,14,18,15,19,18,16
19,3_creditor,1,3,2,2,0.068,0,19,20,13,19,15,17,19,16
,,,,,,,,,,,,,,,
