,character,lines,words,degree,weighted_degree,eigenvector,betweenness,line_rank,word_rank,degree_rank,WD_rank,BC_rank,EC_rank,count_rank,metrics_rank
0,1_officer,1,4,2,2,0.054037125894055744,0.0,19,22,10,19,20,22,20,17
1,2_officer,1,23,2,2,0.06657779443643264,0.0,19,21,10,19,20,21,20,17
2,Asotus,188,5607,19,365,0.4086957731998738,52.64365079365079,1,1,1,1,1,1,1,1
3,Ballio,118,2913,14,234,0.3159090040767632,35.2984126984127,2,3,2,2,2,3,2,2
4,Bomolocus,12,311,5,24,0.1368963151150217,1.0,14,13,8,14,15,17,13,13
5,Chaerilus,14,301,6,28,0.1320375176042419,2.083333333333333,12,14,7,12,11,18,13,12
6,Chremylus,14,270,6,28,0.17558024234596692,0.65,12,18,7,12,16,12,15,11
7,Demetrius,25,719,5,46,0.16044635143120212,0.2,9,9,8,9,19,14,9,12
8,Dypsas,15,717,6,30,0.194685517936977,0.5928571428571429,11,10,7,11,17,9,10,11
9,Evadne,50,1285,8,100,0.2179604862410723,5.1000000000000005,6,6,5,6,6,7,6,6
10,Hyperbolus,10,271,5,20,0.13185184629190097,1.65,15,17,8,15,12,19,16,13
11,Paegnion,12,434,6,24,0.1814809061211598,4.484920634920635,14,12,7,14,7,10,13,9
12,Pamphilus,42,1142,12,84,0.29691269300679307,14.560317460317458,7,8,3,7,4,4,7,4
13,Phronesium,8,279,5,16,0.15851071632126992,0.5,17,15,8,17,18,15,16,14
14,Phryne,28,605,6,56,0.16479433870621651,1.5333333333333334,8,11,7,8,13,13,9,10
15,Simo,69,1377,7,135,0.18005017579690424,4.266666666666667,4,5,6,4,8,11,4,7
16,Staphyla,7,134,3,14,0.10464809282512488,0.0,18,20,9,18,20,20,19,16
17,Techmessa,59,1600,9,118,0.2574594515306736,2.755555555555556,5,4,4,5,10,6,4,6
18,Thrasimachus,13,219,6,26,0.13989740325044792,1.5333333333333332,13,19,7,13,14,16,16,12
19,Tyndarus,112,4110,14,214,0.3374443659242877,19.976984126984124,3,2,2,3,3,2,2,2
20,priest,9,275,9,18,0.25821076222921624,4.07063492063492,16,16,4,16,9,5,16,8
21,sexton,18,1185,9,36,0.21710327235413845,7.1,10,7,4,10,5,8,8,6
