,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,Bardolph,Betweeness,228,17,14,3,0.091
1,Blunt,Betweeness,322,14,10,4,0.121
2,Douglas,Equal,377,12,12,0,0.0
3,Falstaff,Words,5784,1,3,2,0.061
4,Gadshill,Betweeness,364,13,5,8,0.242
5,Glendower,Words,633,6,15,9,0.273
6,Hotspur,Betweeness,4466,3,1,2,0.061
7,King_Henry_IV,Equal,2611,4,4,0,0.0
8,Lady_Percy,Words,454,10,15,5,0.152
9,Lancaster,Betweeness,69,24,15,9,0.273
10,Mortimer,Words,469,9,13,4,0.121
11,Northumberland,Betweeness,185,19,15,4,0.121
12,Peto,Betweeness,102,23,11,12,0.364
13,Poins,Words,602,7,9,2,0.061
14,Prince_Hal,Equal,4635,2,2,0,0.0
15,Sir_Michael,Betweeness,61,27,15,12,0.364
16,Vernon,Words,486,8,15,7,0.212
17,Westmoreland,Equal,308,15,15,0,0.0
18,Worcester,Words,1462,5,8,3,0.091
19,archbishop,Betweeness,265,16,7,9,0.273
20,chamberlain,Betweeness,157,21,15,6,0.182
21,drawer_Francis,Betweeness,109,22,15,7,0.212
22,first_carrier,Betweeness,200,18,6,12,0.364
23,first_messenger,Betweeness,11,32,15,17,0.515
24,first_traveler,Betweeness,21,30,15,15,0.455
25,hostess,Words,448,11,15,4,0.121
26,ostler,Betweeness,4,34,15,19,0.576
27,second_messenger,Betweeness,13,31,15,16,0.485
28,servant,Betweeness,27,29,15,14,0.424
29,sheriff,Betweeness,64,26,15,11,0.333
30,third_carrier,Betweeness,5,33,15,18,0.545
31,third_messenger,Betweeness,66,25,15,10,0.303
32,travelers_second_carrier,Betweeness,158,20,15,5,0.152
33,vintner,Betweeness,40,28,15,13,0.394
