,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,1_creditor,Betweeness,52,17,15,2,0.105
1,2_creditor,Betweeness,45,19,15,4,0.211
2,3_creditor,Betweeness,3,20,15,5,0.263
3,Alworth,Betweeness,1626,6,5,1,0.053
4,Amble,Words,240,12,13,1,0.053
5,Froth,Words,163,13,15,2,0.105
6,Furnace,Betweeness,862,8,7,1,0.053
7,Greedy,Betweeness,1124,7,4,3,0.158
8,Lady,Betweeness,1934,4,3,1,0.053
9,Lovell,Words,1737,5,8,3,0.158
10,Marall,Betweeness,2206,3,2,1,0.053
11,Margaret,Equal,858,9,9,0,0.0
12,Order,Betweeness,307,11,7,4,0.211
13,Overreach,Words,5510,1,6,5,0.263
14,Tapwell,Words,761,10,12,2,0.105
15,Watchall,Betweeness,51,18,14,4,0.211
16,Wellborn,Betweeness,2828,2,1,1,0.053
17,Willdo,Betweeness,85,15,11,4,0.211
18,chambermaid,Betweeness,76,16,15,1,0.053
19,woman,Betweeness,112,14,10,4,0.211
