,character,direction,word_count,word_rank,BC_rank,difference,ratio
0,Alicia,Equal,2998,4,4,0,0.0
1,Bellamy,Words,1438,7,11,4,0.25
2,Bellamy_sr,Betweeness,573,12,10,2,0.125
3,Careless,Words,5955,1,5,4,0.25
4,Closet,Words,725,11,12,1,0.062
5,Crostill,Betweeness,1113,10,8,2,0.125
6,Fitzgerrard,Equal,168,14,14,0,0.0
7,Lady,Betweeness,3859,2,1,1,0.062
8,Lovely,Betweeness,1352,8,2,6,0.375
9,Phebe,Betweeness,362,13,12,1,0.062
10,Saleware,Words,3398,3,7,4,0.25
11,Saveall,Words,1547,6,9,3,0.188
12,Thrivewell,Betweeness,1156,9,3,6,0.375
13,Wat,Words,1903,5,6,1,0.062
14,page,Betweeness,12,17,14,3,0.188
15,prentice,Betweeness,43,15,13,2,0.125
16,servant,Betweeness,27,16,14,2,0.125
