,character,direction,word_count,word_rank,BC_rank,difference,ratio
1,Bullcalf,Equal,122,26,26,0,0.0
4,Colevile,Betweeness,69,33,26,7,0.149
8,Feeble,Betweeness,106,28,26,2,0.043
9,Francis,Betweeness,65,35,5,30,0.638
10,Gloucester,Betweeness,142,25,24,1,0.021
11,Harcourt,Betweeness,67,34,26,8,0.17
13,Lady_Northumberland,Betweeness,42,38,26,12,0.255
19,Master_Gower,Betweeness,65,35,26,9,0.191
22,Mouldy,Betweeness,104,29,26,3,0.064
24,Peto,Betweeness,51,37,26,11,0.234
28,Shadow,Betweeness,12,45,26,19,0.404
30,Travers,Betweeness,115,27,26,1,0.021
31,Wart,Betweeness,10,46,26,20,0.426
34,Will,Betweeness,38,39,26,13,0.277
36,beadle,Betweeness,76,31,21,10,0.213
37,drawer_first,Betweeness,72,32,26,6,0.128
38,drawer_second,Betweeness,14,44,26,18,0.383
39,groom_first,Betweeness,20,43,11,32,0.681
40,groom_second,Betweeness,7,47,26,21,0.447
42,messenger,Betweeness,36,40,26,14,0.298
43,officer_Fang,Betweeness,56,36,20,16,0.34
44,officer_Snare,Betweeness,25,42,26,16,0.34
46,porter,Betweeness,35,41,26,15,0.319
47,servant,Betweeness,95,30,26,4,0.085
